"leverantor","period","tjanst","tjanstdelt_ny","tjanstdelt_pagaende","tjanstdelt_avslutat","total_ny","total_pagaende","andel_ny","andel_pagaende"
"2Work Sverige AB","2023-12","Rusta och Matcha",0,0,0,9187,56760,0,0
"2Work Sverige AB","2024-01","Rusta och Matcha",12,16,0,8900,59141,0.00134831460674157,0.000270539896180315
"2Work Sverige AB","2024-02","Rusta och Matcha",15,35,0,10063,63776,0.00149060916227765,0.000548795785248369
"2Work Sverige AB","2024-03","Rusta och Matcha",7,36,9,8455,64400,0.000827912477823773,0.000559006211180124
"2Work Sverige AB","2024-04","Rusta och Matcha",6,38,5,6871,62884,0.000873235336923301,0.000604287259080211
"2Work Sverige AB","2024-05","Rusta och Matcha",7,40,6,6017,57867,0.00116337045039056,0.000691240257832616
"2Work Sverige AB","2024-06","Rusta och Matcha",9,41,8,5742,53560,0.00156739811912226,0.000765496639283047
"2Work Sverige AB","2024-07","Rusta och Matcha",0,35,5,5390,52364,0,0.000668398136124055
"2Work Sverige AB","2024-08","Rusta och Matcha",0,31,5,2960,46070,0,0.000672889081831995
"2Work Sverige AB","2024-09","Rusta och Matcha",0,28,0,6345,43259,0,0.000647264153124205
"2Work Sverige AB","2024-10","Rusta och Matcha",6,29,0,7366,41513,0.000814553353244638,0.000698576349577241
"2Work Sverige AB","2024-11","Rusta och Matcha",6,28,7,5696,39416,0.00105337078651685,0.000710371422772478
"2Work Sverige AB","2024-12","Rusta och Matcha",0,26,6,5974,40168,0,0.000647281418044214
"A & S Service AB","2023-07","Rusta och Matcha",0,0,0,7862,51663,0,0
"A & S Service AB","2023-08","Rusta och Matcha",0,5,0,6562,44388,0,0.000112643056681986
"A & S Service AB","2023-09","Rusta och Matcha",5,7,0,11957,41936,0.000418165091578155,0.000166921022510492
"A & S Service AB","2023-10","Rusta och Matcha",9,17,0,14711,47275,0.000611787098089865,0.000359598096245373
"A & S Service AB","2023-11","Rusta och Matcha",20,49,0,11758,52797,0.00170096955264501,0.000928083035020929
"A & S Service AB","2023-12","Rusta och Matcha",15,61,0,9187,56760,0.00163274191792751,0.00107470049330514
"A & S Service AB","2024-01","Rusta och Matcha",8,67,0,8900,59141,0.000898876404494382,0.00113288581525507
"A & S Service AB","2024-02","Rusta och Matcha",14,78,6,10063,63776,0.00139123521812581,0.00122303060712494
"A & S Service AB","2024-03","Rusta och Matcha",8,85,6,8455,64400,0.000946185688941455,0.00131987577639752
"A & S Service AB","2024-04","Rusta och Matcha",14,95,6,6871,62884,0.0020375491194877,0.00151071814770053
"A & S Service AB","2024-05","Rusta och Matcha",9,94,10,6017,57867,0.00149576200764501,0.00162441460590665
"A & S Service AB","2024-06","Rusta och Matcha",7,84,15,5742,53560,0.00121908742598398,0.00156833457804332
"A & S Service AB","2024-07","Rusta och Matcha",6,81,14,5390,52364,0.00111317254174397,0.0015468642578871
"A & S Service AB","2024-08","Rusta och Matcha",6,82,6,2960,46070,0.00202702702702703,0.0017799001519427
"A & S Service AB","2024-09","Rusta och Matcha",7,76,12,6345,43259,0.00110323089046493,0.00175685984419427
"A & S Service AB","2024-10","Rusta och Matcha",5,26,54,7366,41513,0.000678794461037198,0.000626309830655457
"A & S Service AB","2024-11","Rusta och Matcha",5,26,5,5696,39416,0.000877808988764045,0.000659630606860158
"A & S Service AB","2024-12","Rusta och Matcha",0,25,0,5974,40168,0,0.000622385978888668
"A till Ö Jobb & Rekrytering AB","2021-02","Rusta och Matcha",6,7,0,1509,7345,0.00397614314115308,0.000953029271613342
"A till Ö Jobb & Rekrytering AB","2021-03","Rusta och Matcha",7,14,0,1509,8181,0.0046388336646786,0.00171128223933504
"A till Ö Jobb & Rekrytering AB","2021-04","Rusta och Matcha",0,17,0,1006,8530,0,0.00199296600234467
"A till Ö Jobb & Rekrytering AB","2021-05","Rusta och Matcha",0,19,0,943,8361,0,0.00227245544791293
"A till Ö Jobb & Rekrytering AB","2021-06","Rusta och Matcha",79,94,0,2969,9747,0.0266082856180532,0.00964399302349441
"A till Ö Jobb & Rekrytering AB","2021-07","Rusta och Matcha",100,190,0,3811,12383,0.0262398320650748,0.015343616248082
"A till Ö Jobb & Rekrytering AB","2021-08","Rusta och Matcha",63,230,21,2428,13114,0.0259472817133443,0.0175385084642367
"A till Ö Jobb & Rekrytering AB","2021-09","Rusta och Matcha",47,256,19,2639,14018,0.0178097764304661,0.018262234270224
"A till Ö Jobb & Rekrytering AB","2021-10","Rusta och Matcha",48,285,18,4365,16624,0.0109965635738832,0.0171438883541867
"A till Ö Jobb & Rekrytering AB","2021-11","Rusta och Matcha",118,387,16,10345,25024,0.011406476558724,0.0154651534526854
"A till Ö Jobb & Rekrytering AB","2021-12","Rusta och Matcha",136,508,17,13013,35668,0.0104510873741643,0.0142424582258607
"A till Ö Jobb & Rekrytering AB","2022-01","Rusta och Matcha",90,558,39,10877,43054,0.00827434035119978,0.0129604682491755
"A till Ö Jobb & Rekrytering AB","2022-02","Rusta och Matcha",153,658,45,16179,55202,0.00945670313369182,0.0119198579761603
"A till Ö Jobb & Rekrytering AB","2022-03","Rusta och Matcha",152,749,50,15411,65117,0.00986308480955162,0.0115023726523028
"A till Ö Jobb & Rekrytering AB","2022-04","Rusta och Matcha",105,767,82,11321,68619,0.00927479904602067,0.0111776621635407
"A till Ö Jobb & Rekrytering AB","2022-05","Rusta och Matcha",110,785,82,10669,70318,0.0103102446339863,0.0111635712050968
"A till Ö Jobb & Rekrytering AB","2022-06","Rusta och Matcha",76,747,107,7847,68443,0.00968523002421308,0.0109141913709218
"A till Ö Jobb & Rekrytering AB","2022-07","Rusta och Matcha",86,725,105,7911,69212,0.0108709391985842,0.0104750621279547
"A till Ö Jobb & Rekrytering AB","2022-08","Rusta och Matcha",44,674,83,4820,65940,0.00912863070539419,0.0102214134061268
"A till Ö Jobb & Rekrytering AB","2022-09","Rusta och Matcha",79,670,82,8197,66124,0.00963767231914115,0.0101324783739641
"A till Ö Jobb & Rekrytering AB","2022-10","Rusta och Matcha",67,641,92,11356,69163,0.00589996477632969,0.00926796119312349
"A till Ö Jobb & Rekrytering AB","2022-11","Rusta och Matcha",69,614,92,10934,70709,0.00631059081763307,0.00868347735083228
"A till Ö Jobb & Rekrytering AB","2022-12","Rusta och Matcha",79,621,71,10114,70789,0.00781095511172632,0.0087725494073938
"A till Ö Jobb & Rekrytering AB","2023-01","Rusta och Matcha",54,602,76,7787,67057,0.00693463464748941,0.00897743710574586
"A till Ö Jobb & Rekrytering AB","2023-02","Rusta och Matcha",92,590,97,11172,67672,0.00823487289652703,0.00871852464830358
"A till Ö Jobb & Rekrytering AB","2023-03","Rusta och Matcha",142,643,89,12440,69280,0.0114147909967846,0.00928117782909931
"A till Ö Jobb & Rekrytering AB","2023-04","Rusta och Matcha",80,600,122,8486,63195,0.00942729201037002,0.0094944220270591
"A till Ö Jobb & Rekrytering AB","2023-05","Rusta och Matcha",114,584,126,12038,60152,0.00947001162983884,0.00970873786407767
"A till Ö Jobb & Rekrytering AB","2023-06","Rusta och Matcha",102,556,130,9226,55094,0.0110557121179276,0.0100918430319091
"A till Ö Jobb & Rekrytering AB","2023-07","Rusta och Matcha",91,535,109,7862,51663,0.0115746629356398,0.0103555736213538
"A till Ö Jobb & Rekrytering AB","2023-08","Rusta och Matcha",76,482,128,6562,44388,0.0115818348064614,0.0108587906641435
"A till Ö Jobb & Rekrytering AB","2023-09","Rusta och Matcha",125,459,151,11957,41936,0.0104541272894539,0.0109452499046166
"A till Ö Jobb & Rekrytering AB","2023-10","Rusta och Matcha",164,519,97,14711,47275,0.011148120454082,0.0109783183500793
"A till Ö Jobb & Rekrytering AB","2023-11","Rusta och Matcha",84,522,71,11758,52797,0.00714407212110903,0.00988692539348827
"A till Ö Jobb & Rekrytering AB","2023-12","Rusta och Matcha",82,559,51,9187,56760,0.0089256558180037,0.00984848484848485
"A till Ö Jobb & Rekrytering AB","2024-01","Rusta och Matcha",89,587,59,8900,59141,0.01,0.0099254324411153
"A till Ö Jobb & Rekrytering AB","2024-02","Rusta och Matcha",75,603,51,10063,63776,0.00745304581138825,0.00945496738585048
"A till Ö Jobb & Rekrytering AB","2024-03","Rusta och Matcha",75,616,63,8455,64400,0.00887049083382614,0.00956521739130435
"A till Ö Jobb & Rekrytering AB","2024-04","Rusta och Matcha",62,601,72,6871,62884,0.00902343181487411,0.00955728007124229
"A till Ö Jobb & Rekrytering AB","2024-05","Rusta och Matcha",49,557,92,6017,57867,0.00814359315273392,0.00962552059031918
"A till Ö Jobb & Rekrytering AB","2024-06","Rusta och Matcha",40,496,99,5742,53560,0.00696621386276559,0.00926064227035101
"A till Ö Jobb & Rekrytering AB","2024-07","Rusta och Matcha",54,478,83,5390,52364,0.0100185528756957,0.00912840883049423
"A till Ö Jobb & Rekrytering AB","2024-08","Rusta och Matcha",34,436,75,2960,46070,0.0114864864864865,0.0094638593444758
"A till Ö Jobb & Rekrytering AB","2024-09","Rusta och Matcha",11,105,30,6345,43259,0.00173364854215918,0.00242724057421577
"A till Ö Jobb & Rekrytering AB","2024-10","Rusta och Matcha",0,79,25,7366,41513,0,0.00190301833160697
"A till Ö Jobb & Rekrytering AB","2024-11","Rusta och Matcha",0,63,16,5696,39416,0,0.00159833570123808
"A till Ö Jobb & Rekrytering AB","2024-12","Rusta och Matcha",0,0,13,5974,40168,0,0
"A-Karriär Sweden AB","2021-11","Rusta och Matcha",150,309,19,10345,25024,0.014499758337361,0.0123481457800512
"A-Karriär Sweden AB","2021-12","Rusta och Matcha",164,416,31,13013,35668,0.0126027818335511,0.0116631153975552
